"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 20:19:55 UTC 2025","Mon Mar 31 20:19:55 UTC 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityNonexistentUser","Тест получения общего времени активности для несуществующего пользователя",""
"passed","Mon Mar 31 20:19:55 UTC 2025","Mon Mar 31 20:19:55 UTC 2025","27","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingSessions","Тест получения общего времени активности без сессии",""
"passed","Mon Mar 31 20:19:54 UTC 2025","Mon Mar 31 20:19:54 UTC 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Mon Mar 31 20:19:54 UTC 2025","Mon Mar 31 20:19:54 UTC 2025","25","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionFutureDate","Тест записи сессии с будующими датами",""
"passed","Mon Mar 31 20:19:54 UTC 2025","Mon Mar 31 20:19:54 UTC 2025","48","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUserDuplicate","Тест регистрации существующего пользователя",""
"passed","Mon Mar 31 20:19:55 UTC 2025","Mon Mar 31 20:19:55 UTC 2025","11","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersMissingParameters","Тест получения общего времени активности без параметров",""
"passed","Mon Mar 31 20:19:54 UTC 2025","Mon Mar 31 20:19:54 UTC 2025","29","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUserMissingParameters","Тест регистрации пользователя с пустыми параметрам",""
"passed","Mon Mar 31 20:19:56 UTC 2025","Mon Mar 31 20:19:56 UTC 2025","10","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityNonexistentUser","Тест проверки активности в течении заданного месяца с несуществующим пользователем",""
"passed","Mon Mar 31 20:19:56 UTC 2025","Mon Mar 31 20:19:56 UTC 2025","10","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityInvalidMonth","Тест проверки активности в течении заданного месяца с невалидным месяцем",""
"passed","Mon Mar 31 20:19:55 UTC 2025","Mon Mar 31 20:19:55 UTC 2025","11","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingParameters","Тест получения общего времени активности с пустыми параметрами",""
